r_gt,d,arc,n_circles,r_meas,e_r,e_c,f_req,r_pred,e_c_pred,note
0.1,1.0,1.0,1,0.10664,0.00664,-0.02908,-0.07091,0.11489,-0.06745,
0.1,1.0,0.9,1,0.09741,-0.00259,-0.03637,-0.06265,0.1096,-0.0855,
0.1,1.0,0.75,1,0.08512,-0.01488,-0.04335,-0.05263,0.10404,-0.09267,
0.1,1.0,0.6,1,0.07346,-0.02654,-0.04755,-0.04406,0.09884,-0.09587,
0.1,1.0,0.5,1,0.06379,-0.03621,-0.04949,-0.03745,0.09541,-0.09681,
0.1,1.5,1.0,1,0.10876,0.00876,-0.02587,-0.07393,0.11521,-0.06427,
0.1,1.5,0.9,1,0.0934,-0.0066,-0.03898,-0.06022,0.11069,-0.08311,
0.1,1.5,0.75,1,0.08174,-0.01826,-0.04594,-0.05088,0.10546,-0.09089,
0.1,1.5,0.6,1,0.06667,-0.03333,-0.05175,-0.03998,0.10039,-0.09453,
0.1,1.5,0.5,1,0.05882,-0.04118,-0.05351,-0.03467,0.097,-0.0957,
0.1,2.0,1.0,1,0.10569,0.00569,-0.02786,-0.07191,0.11533,-0.06266,
0.1,2.0,0.9,1,0.09177,-0.00823,-0.04004,-0.05956,0.1112,-0.08188,
0.1,2.0,0.75,1,0.07553,-0.02447,-0.04995,-0.04678,0.10613,-0.08996,
0.1,2.0,0.6,1,0.06501,-0.03499,-0.05426,-0.03925,0.10114,-0.09383,
0.1,2.0,0.5,1,0.0541,-0.0459,-0.05714,-0.0319,0.09777,-0.09512,
0.1,2.5,1.0,1,0.10752,0.00752,-0.02527,-0.07466,0.11538,-0.06169,
0.1,2.5,0.9,1,0.10064,0.00064,-0.03132,-0.06782,0.11149,-0.08113,
0.1,2.5,0.75,1,0.08857,-0.01143,-0.03898,-0.05729,0.10652,-0.0894,
0.1,2.5,0.6,1,0.07665,-0.02335,-0.04384,-0.04809,0.10158,-0.0934,
0.1,2.5,0.5,1,0.06392,-0.03608,-0.04664,-0.0391,0.09823,-0.09477,
0.1,3.0,1.0,1,0.10988,0.00988,-0.02176,-0.07811,0.11541,-0.06104,
0.1,3.0,0.9,1,0.10242,0.00242,-0.02852,-0.07017,0.11167,-0.08063,
0.1,3.0,0.75,1,0.08895,-0.01105,-0.03642,-0.05824,0.10678,-0.08902,
0.1,3.0,0.6,1,0.07497,-0.02503,-0.04091,-0.04758,0.10187,-0.09312,
0.1,3.0,0.5,1,0.06735,-0.03265,-0.04213,-0.04221,0.09853,-0.09453,
0.1,4.0,1.0,1,0.09255,-0.00745,-0.03744,-0.06247,0.11543,-0.06022,
0.1,4.0,0.9,1,0.09255,-0.00745,-0.03744,-0.06247,0.1119,-0.08,
0.1,4.0,0.75,1,0.06988,-0.03012,-0.0524,-0.04423,0.10709,-0.08854,
0.1,4.0,0.6,1,0.0588,-0.0412,-0.05698,-0.0363,0.10223,-0.09275,
0.1,4.0,0.5,0,,,,,0.0989,-0.09423,NO_DETECTION
0.15,1.0,1.0,1,0.16366,0.01366,-0.04213,-0.00784,0.17125,-0.10812,
0.15,1.0,0.9,1,0.14761,-0.00239,-0.05414,0.00639,0.16162,-0.13341,
0.15,1.0,0.75,1,0.12914,-0.02086,-0.06339,0.0214,0.15265,-0.14281,
0.15,1.0,0.6,1,0.11192,-0.03808,-0.06824,0.0339,0.14458,-0.14663,
0.15,1.0,0.5,1,0.10081,-0.04919,-0.06975,0.0414,0.13937,-0.14753,
0.15,1.5,1.0,1,0.15995,0.00995,-0.04361,-0.00636,0.17234,-0.10117,
0.15,1.5,0.9,1,0.14611,-0.00389,-0.05455,0.00602,0.16439,-0.12825,
0.15,1.5,0.75,1,0.12768,-0.02232,-0.06503,0.02105,0.15607,-0.13901,
0.15,1.5,0.6,1,0.11019,-0.03981,-0.07132,0.03392,0.14826,-0.1438,
