r_gt,d,arc,n_circles,r_meas,e_r,e_c,f_req,r_pred,e_c_pred,note
0.3,2.0,1.0,1,0.32732,0.02732,-0.08427,0.057,0.34249,-0.21625,
0.3,3.0,1.0,1,0.31991,0.01991,-0.08723,0.06737,0.34467,-0.20234,
0.35,2.0,1.0,1,0.37171,0.02171,-0.10843,0.08675,0.39791,-0.2602,
0.35,3.0,1.0,1,0.37711,0.02711,-0.09975,0.07269,0.40139,-0.24153,
0.4,2.0,1.0,1,0.44069,0.04069,-0.11352,0.07295,0.45255,-0.30627,
0.4,3.0,1.0,1,0.43413,0.03413,-0.1128,0.07873,0.45776,-0.28221,
0.45,2.0,1.0,1,0.47859,0.02859,-0.14292,0.11437,0.50629,-0.3544,
0.45,3.0,1.0,1,0.49098,0.04098,-0.1264,0.0855,0.51374,-0.32437,
0.5,2.0,1.0,1,0.53139,0.03139,-0.16139,0.13028,0.55902,-0.40451,
0.5,3.0,1.0,1,0.54769,0.04769,-0.14055,0.09295,0.56928,-0.36797,
0.55,2.0,1.0,1,0.57956,0.02956,-0.18359,0.15409,0.6106,-0.45655,
0.55,3.0,1.0,0,,,,,0.62432,-0.41299,NO_DETECTION
0.6,2.0,1.0,0,,,,,0.66091,-0.51045,NO_DETECTION
0.6,3.0,1.0,0,,,,,0.67882,-0.45941,NO_DETECTION
0.65,2.0,1.0,0,,,,,0.70981,-0.56616,NO_DETECTION
0.65,3.0,1.0,0,,,,,0.73273,-0.5072,NO_DETECTION
