r_gt,d,arc,n_circles,r_meas,e_r,e_c,f_req,r_pred,e_c_pred,note
0.45,3.0,1.0,1,0.49098,0.04098,-0.1264,0.0855,0.51374,-0.32437,
0.45,4.0,1.0,1,0.49561,0.04561,-0.11815,0.07313,0.51632,-0.30878,
0.48,3.0,1.0,1,0.53385,0.05385,-0.12764,0.07395,0.54712,-0.35036,
0.48,4.0,1.0,1,0.53512,0.05512,-0.12128,0.06633,0.55025,-0.33273,
0.5,3.0,1.0,1,0.54769,0.04769,-0.14055,0.09295,0.56928,-0.36797,
0.5,4.0,1.0,1,0.54231,0.04231,-0.14029,0.09841,0.57282,-0.34891,
0.52,3.0,1.0,1,0.56241,0.04241,-0.15272,0.11039,0.59136,-0.38581,
0.52,4.0,1.0,1,0.56994,0.04994,-0.1414,0.092,0.59535,-0.36527,
0.55,3.0,1.0,0,,,,,0.62432,-0.41299,NO_DETECTION
0.55,4.0,1.0,0,,,,,0.62905,-0.39015,NO_DETECTION
