t,tick,LT_p,LT_val,up_p,up_op,Passive2FixStand
7.70005,14994,0,0,0,0,0
7.70105,14994,0,0,0,0,0
7.70205,14996,0,0,0,0,0
7.703,14998,0,0,0,0,0
7.704,14998,0,0,0,0,0
7.705,15000,0,0.03,1,1,0
7.70605,15000,0,0.0591,1,0,0
7.70705,15002,0,0.087327,1,0,0
7.70801,15002,0,0.114707,1,0,0
7.70905,15004,0,0.141266,1,0,0
7.71005,15004,0,0.167028,1,0,0
7.71105,15004,0,0.192017,1,0,0
7.71205,15006,0,0.216257,1,0,0
7.71305,15006,0,0.239769,1,0,0
7.71405,15008,0,0.262576,1,0,0
7.71505,15008,0,0.284699,1,0,0
7.71605,15010,0,0.306158,1,0,0
7.71705,15012,0,0.326973,1,0,0
7.71805,15012,0,0.347164,1,0,0
7.71905,15014,0,0.366749,1,0,0
7.72005,15014,0,0.385746,1,0,0
7.72105,15016,0,0.404174,1,0,0
7.72205,15016,0,0.422049,1,0,0
7.72305,15018,0,0.439387,1,0,0
7.72623,15020,0,0.456206,1,0,0
7.72624,15020,0,0.472519,1,0,0
7.72625,15020,0,0.488344,1,0,0
7.72705,15022,1,0.503694,1,0,0
7.72805,15022,1,0.518583,1,0,0
7.72905,15024,1,0.533025,1,0,0
7.73005,15024,1,0.547035,1,0,0
7.73105,15026,1,0.560623,1,0,0
7.73205,15026,1,0.573805,1,0,0
7.73305,15026,1,0.586591,1,0,0
7.73405,15028,1,0.598993,1,0,0
7.73505,15028,1,0.611023,1,0,0
7.73605,15030,1,0.622692,1,0,0
7.73705,15030,1,0.634012,1,0,0
7.73805,15032,1,0.644991,1,0,0
7.73942,15032,1,0.655641,1,0,0
7.74005,15032,1,0.665972,1,0,0
7.74105,15034,1,0.675993,1,0,0
7.74205,15036,1,0.685713,1,0,0
7.74305,15038,1,0.695142,1,0,0
7.74405,15038,1,0.704288,1,0,0
